馬名,レース名,馬齢,牝馬,牡馬,前走順位,前走人気,騎手変更,前走芝,前走ダート,前走障害,前走のグレード-今回のグレード,今回の負担-前走の負担,(今回の距離-前回の距離)/100,週間隔,前走海外
アカイイト,有馬記念,5,1,,4,11,,,,,,-1,3,5,
イズジョーノキセキ,有馬記念,5,1,,10,10,1,,,,,-1,3,5,
ボルドグフーシュ,有馬記念,3,,1,2,7,1,,,,,-2,-5,8,
アリストテレス,有馬記念,5,,1,11,4,1,,,,1,1,1,10,
ジェラルディーナ,有馬記念,4,1,,1,4,,,,,,-1,3,5,
ヴェラアズール,有馬記念,5,,1,1,3,1,,,,,,1,3,
エフフォーリア,有馬記念,4,,1,6,1,,,,,,-1,3,25,
ウインマイティ―,有馬記念,5,1,,16,7,,,,,,-1,3,5,
イクイノックス,有馬記念,3,,1,1,1,,,,,,-1,5,7,
ジャスティンパレス,有馬記念,3,,1,3,4,1,,,,,-2,-5,8,
ラストドラフト,有馬記念,6,,1,5,4,1,,,,1,1,,6,
ポタジェ,有馬記念,5,,1,13,8,,,,,,-1,5,7,
タイトルホルダー,有馬記念,4,,1,11,1,,,,,,-2.5,1,11,1
ボッケリーニ,有馬記念,6,,1,17,9,,,,,,,1,3,
ブレークアップ,有馬記念,4,,1,1,6,1,,,,1,3,,6,
ディープボンド,有馬記念,5,,1,18,10,,,,,,-2.5,1,11,1
