馬名,レース名,馬齢,牝馬,牡馬,前走順位,前走人気,騎手変更,前走芝,前走ダート,前走障害,前走のグレード-今回のグレード,今回の負担-前走の負担,(今回の距離-前回の距離)/100,週間隔,前走海外
キョウエイブリッサ,朝日杯フューチュリティステークス,2,,1,3,5,1,,,,5,,2,3,
ドルチェモア,朝日杯フューチュリティステークス,2,,1,1,2,1,,,,2,,,9,
オールパルフェ,朝日杯フューチュリティステークス,2,,1,1,3,,,,,1,,,4,
ドンデンガエシ,朝日杯フューチュリティステークス,2,,1,1,2,1,,,,5,1,,13,
バグラダス,朝日杯フューチュリティステークス,2,,1,1,3,1,,,,5,,2,3,
ミシェラドラータ,朝日杯フューチュリティステークス,2,,1,12,17,1,,,,1,,2,5,
オオバンブルマイ,朝日杯フューチュリティステークス,2,,1,1,10,1,,,,1,,2,5,
グラニット,朝日杯フューチュリティステークス,2,,1,2,7,1,,,,2,,,9,
ニシノベストワン,朝日杯フューチュリティステークス,2,,1,1,4,,,,,6,,,1,
ウメムスビ,朝日杯フューチュリティステークス,2,,1,1,6,1,,,,4,1,4,11,
ティニア,朝日杯フューチュリティステークス,2,,1,2,1,,,,,5,,2,3,
ダノンタッチダウン,朝日杯フューチュリティステークス,2,,1,2,1,,,,,1,,,4,
スズカタブル,朝日杯フューチュリティステークス,2,,1,5,4,1,,,,3,,-2,6,
レイべリング,朝日杯フューチュリティステークス,2,,1,1,2,1,,,,5,,,2,
フロムダスク,朝日杯フューチュリティステークス,2,,1,2,11,1,,,,1,,2,5,
コーパスクリスティ,朝日杯フューチュリティステークス,2,,1,1,4,1,,,,5,,2,3,
エンファサイズ,朝日杯フューチュリティステークス,2,,1,1,6,,,,,5,,,4,
