馬名,レース名,馬齢,牝馬,牡馬,前走順位,前走人気,騎手変更,前走芝,前走ダート,前走障害,前走のグレード-今回のグレード,今回の負担-前走の負担,(今回の距離-前回の距離)/100,週間隔,前走海外
グロリアムンディ,チャンピオンズカップ,4,,1,12,13,1,1,,,,-1,-4,22,
サンライズホープ,チャンピオンズカップ,5,,1,1,11,,,,,2,1,,3,
ハピ,チャンピオンズカップ,3,,1,4,3,,,,,2,2,,3,
スマッシングハーツ,チャンピオンズカップ,6,,1,4,4,,,,,2,1,2,2,
ジュンライトボルト,チャンピオンズカップ,5,,1,1,4,,,,,2,1,-1,8,
レッドガラン,チャンピオンズカップ,7,,1,14,14,1,1,,,,-1,-2,4,
オーヴェルニュ,チャンピオンズカップ,6,,1,6,6,1,,,,,,-2,3,
サンライズノヴァ,チャンピオンズカップ,8,,1,9,13,,,,,2,-1,2,2,
ノットゥルノ,チャンピオンズカップ,3,,1,7,4,1,,,,1,1,,9,
クラウンプライド,チャンピオンズカップ,3,,1,2,2,,,,,,1,-2,3,
バーデンヴァイラー,チャンピオンズカップ,4,,1,15,3,1,,,,2,,-1,8,
テーオーケインズ,チャンピオンズカップ,5,,1,1,1,,,,,,,-2,3,
シャマル,チャンピオンズカップ,4,,1,3,3,1,,,,,,2,7,
タガノビューティー,チャンピオンズカップ,5,,1,6,6,,,,,2,1,2,2,
サクラアリュール,チャンピオンズカップ,7,,1,9,10,1,,,,2,1,,3,
レッドソルダード,チャンピオンズカップ,4,,,5,5,1,,,,3,2,-3,5,
