馬名,レース名,馬齢,牝馬,牡馬,前走順位,前走人気,騎手変更,前走芝,前走ダート,前走障害,前走のグレード-今回のグレード,今回の負担-前走の負担,(今回の距離-前回の距離)/100,週間隔,前走海外
ジャスパープリンス,フェブラリーステークス,8,,1,9,16,,,,,2,1,2,2,
シャールズスパイト,フェブラリーステークス,6,,1,2,13,1,1,,,,1,,14,1
ケンシンコウ,フェブラリーステークス,6,,1,6,10,1,,,,2,1,2,2,
ドライスタウト,フェブラリーステークス,4,,1,2,1,,,,,3,,2,5,
オーヴェルニュ,フェブラリーステークス,7,,1,8,8,1,,,,1,1,-2,3,
メイショウハリオ,フェブラリーステークス,6,,1,3,,,,,,,1,-4,6,1
レモンポップ,フェブラリーステークス,5,,1,1,1,1,,,,2,1,2,2,
アドマイヤルプス,フェブラリーステークス,6,,,11,9,,,,,2,1,2,2,
ショウナンナデシコ,フェブラリーステークス,6,1,,6,,,,,,,1,-4,6,1
テイエムサウスダン,フェブラリーステークス,6,,1,14,3,,,,,2,1,2,2,
ソリストサンダー,フェブラリーステークス,8,,1,7,,1,,,,,1,,18,1
セキフウ,フェブラリーステークス,4,,1,13,7,,,,,2,2,2,2,
スピーディーキック,フェブラリーステークス,4,1,,1,1,,,,,,1,,6,1
ヘリオス,フェブラリーステークス,7,,,15,5,,,,,2,1,2,2,
レッドルゼル,フェブラリーステークス,7,,1,4,,,,,,,1,4,14,1
ケイアイターコイズ,フェブラリーステークス,7,,1,1,1,1,,,,4,1,4,1,
