Race,Race_Grade,Restrict,Mare Limited,Dirt,Course,Distance,Frame,Win,Quinella,Show,Age,Mare,Stallion,P_rank,P_popular,P_restrict,P_marelimit,Jockey_change,Change_from_P_Grass,Change_from_P_Dirt,Change_from_P_Hurdle,P_class_Class,Weight_P_Weight,Distance_P_distance,Week_distance,P_overseas
Centaur Stakes 2022,2,,,,Chukyo,1200,one,,,,5,1,,1,16,,,,,,,3,3,0,2,
Centaur Stakes 2022,2,,,,Chukyo,1200,two,,,,6,1,,8,4,,,1,,,,5,0,0,7,
Centaur Stakes 2022,2,,,,Chukyo,1200,three,,,,7,,1,16,7,,,,,1,,5,-1,0,28,
Centaur Stakes 2022,2,,,,Chukyo,1200,four,,,,6,1,,11,15,,,1,,,,3,3,0,9,
Centaur Stakes 2022,2,,,,Chukyo,1200,four,1,1,1,4,1,,1,1,,,,,,,2,1,-2,16,
Centaur Stakes 2022,2,,,,Chukyo,1200,five,,,,7,,1,11,6,,,1,,,,5,0,0,3,
Centaur Stakes 2022,2,,,,Chukyo,1200,five,,,1,5,,1,4,2,,,1,,,,5,1,0,17,
Centaur Stakes 2022,2,,,,Chukyo,1200,six,,,,4,,1,5,17,,,1,,,,3,1,0,2,
Centaur Stakes 2022,2,,,,Chukyo,1200,six,,,,4,,1,2,4,,,,,,,4,0,-2,14,
Centaur Stakes 2022,2,,,,Chukyo,1200,seven,,,,5,,1,13,11,,,1,,,,3,2,0,2,
Centaur Stakes 2022,2,,,,Chukyo,1200,seven,,,,4,1,,1,4,,,1,,,,1,0,-4,13,
Centaur Stakes 2022,2,,,,Chukyo,1200,eight,,1,1,6,,1,10,8,,,1,,,,3,0,0,2,
Centaur Stakes 2022,2,,,,Chukyo,1200,eight,,,,8,,1,10,10,,,1,,,,4,-1,0,21,
Takaraduka Kinen 2022,1,,,,Hanshin,2200,one,,,,7,,,7,11,,,,,,,1,1,2,11,
Takaraduka Kinen 2022,1,,,,Hanshin,2200,two,,,,6,1,,9,16,,,1,,,,1,0,-10,7,
Takaraduka Kinen 2022,1,,,,Hanshin,2200,two,,,,4,,1,9,1,,,,,,,1,1,2,11,
Takaraduka Kinen 2022,1,,,,Hanshin,2200,three,,,,5,,1,5,3,,,,,,,1,0,-10,7,
Takaraduka Kinen 2022,1,,,,Hanshin,2200,three,1,1,1,4,,1,1,2,,,,,,,1,0,-10,7,
Takaraduka Kinen 2022,1,,,,Hanshin,2200,four,,,1,5,1,,6,5,,1,,,,,1,1,6,5,
Takaraduka Kinen 2022,1,,,,Hanshin,2200,four,,,,7,,1,1,2,,,1,,,,2,0.5,-10,12,1
Takaraduka Kinen 2022,1,,,,Hanshin,2200,five,,,,7,,1,6,14,,,1,,,,1,0,-10,7,
Takaraduka Kinen 2022,1,,,,Hanshin,2200,five,,1,1,6,,1,4,5,,,1,,,,1,1,2,11,
Takaraduka Kinen 2022,1,,,,Hanshin,2200,six,,,,5,,1,1,2,,,,,,,1,1,4,12,1
Takaraduka Kinen 2022,1,,,,Hanshin,2200,six,,,,5,1,,16,9,,,,,,,1,1,2,11,
Takaraduka Kinen 2022,1,,,,Hanshin,2200,seven,,,,4,,1,3,7,,,,,,,1,1,2,11,
Takaraduka Kinen 2022,1,,,,Hanshin,2200,seven,,,,6,,1,11,6,,,,,,,1,1,2,11,
Takaraduka Kinen 2022,1,,,,Hanshin,2200,seven,,,,5,,1,2,1,,,,,,,1,0,-10,7,
Takaraduka Kinen 2022,1,,,,Hanshin,2200,eight,,,,4,,1,2,1,,,1,,1,,3,2,4,9,
Takaraduka Kinen 2022,1,,,,Hanshin,2200,eight,,,,7,,1,4,7,,,,,,,3,2,2,2,
Takaraduka Kinen 2022,1,,,,Hanshin,2200,eight,,,,5,,1,1,8,,,,,,,1,1,2,11,
Keisei Hai Autumn Handicap 2022,3,,,,Nakayama,1600,one,,,,5,,1,1,6,,,,,,,3,2,-2,6,
Keisei Hai Autumn Handicap 2022,3,,,,Nakayama,1600,two,,,,3,1,,4,1,,,,,,,5,0,4,7,
Keisei Hai Autumn Handicap 2022,3,,,,Nakayama,1600,three,,,,6,,1,5,6,,,1,,,,5,0,-2,15,
Keisei Hai Autumn Handicap 2022,3,,,,Nakayama,1600,three,,,,4,1,,7,4,,,1,,,,3,0,-2,6,
Keisei Hai Autumn Handicap 2022,3,,,,Nakayama,1600,four,,,,6,,1,11,5,,,1,,,,3,0,-4,3,
Keisei Hai Autumn Handicap 2022,3,,,,Nakayama,1600,four,,,,5,1,,4,2,,,,,,,3,0,-2,6,
