Race,Race_Grade,Restrict,Dirt,Distance,Win,Quinella,Show,Age,Mare,Stallion,P_rank,P_popular,Jockey_change,Change_from_P_Grass,Change_from_P_Dirt,Change_from_P_Hurdle,P_class_Class,Weight_P_Weight,Distance_P_distance,Week_distance,P_overseas
Centaur Stakes 2022,2,,,1200,,,,5,1,,1,16,,,,,1,3,0,2,
Centaur Stakes 2022,2,,,1200,,,,6,1,,8,4,1,,,,3,0,0,7,
Centaur Stakes 2022,2,,,1200,,,,7,,1,16,7,,1,,,3,-1,0,28,
Centaur Stakes 2022,2,,,1200,,,,6,1,,11,15,1,,,,1,3,0,9,
Centaur Stakes 2022,2,,,1200,1,1,1,4,1,,1,1,,,,,0,1,-2,16,
Centaur Stakes 2022,2,,,1200,,,,7,,1,11,6,1,,,,3,0,0,3,
Centaur Stakes 2022,2,,,1200,,,1,5,,1,4,2,1,,,,3,1,0,17,
Centaur Stakes 2022,2,,,1200,,,,4,,1,5,17,1,,,,1,1,0,2,
Centaur Stakes 2022,2,,,1200,,,,4,,1,2,4,,,,,2,0,-2,14,
Centaur Stakes 2022,2,,,1200,,,,5,,1,13,11,1,,,,1,2,0,2,
Centaur Stakes 2022,2,,,1200,,,,4,1,,1,4,1,,,,-1,0,-4,13,
Centaur Stakes 2022,2,,,1200,,1,1,6,,1,10,8,1,,,,1,0,0,2,
Centaur Stakes 2022,2,,,1200,,,,8,,1,10,10,1,,,,2,-1,0,21,
Takaraduka Kinen 2022,1,,,2200,,,,7,,,7,11,,,,,0,1,2,11,
Takaraduka Kinen 2022,1,,,2200,,,,6,1,,9,16,1,,,,0,0,-10,7,
Takaraduka Kinen 2022,1,,,2200,,,,4,,1,9,1,,,,,0,1,2,11,
Takaraduka Kinen 2022,1,,,2200,,,,5,,1,3,5,,,,,0,0,-10,7,
Takaraduka Kinen 2022,1,,,2200,1,1,1,4,,1,1,2,,,,,0,0,-10,7,
Takaraduka Kinen 2022,1,,,2200,,,1,5,1,,6,5,,,,,0,1,6,5,
Takaraduka Kinen 2022,1,,,2200,,,,7,,1,6,14,1,,,,0,0,-10,7,
Takaraduka Kinen 2022,1,,,2200,,1,1,6,,1,4,5,1,,,,0,1,2,11,
Takaraduka Kinen 2022,1,,,2200,,,,5,1,,16,9,,,,,0,1,2,11,
Takaraduka Kinen 2022,1,,,2200,,,,4,,1,3,7,,,,,0,1,2,11,
Takaraduka Kinen 2022,1,,,2200,,,,6,,1,11,6,,,,,0,1,2,11,
Takaraduka Kinen 2022,1,,,2200,,,,5,,1,2,1,,,,,0,0,-10,7,
Takaraduka Kinen 2022,1,,,2200,,,,4,,1,2,1,1,1,,,2,2,4,9,
Takaraduka Kinen 2022,1,,,2200,,,,7,,1,4,7,,,,,2,2,2,2,
Takaraduka Kinen 2022,1,,,2200,,,,5,,1,1,8,,,,,0,1,2,11,
Keisei Hai Autumn Handicap 2022,3,,,1600,,,,5,,1,1,6,,,,,0,2,-2,6,
Keisei Hai Autumn Handicap 2022,3,,,1600,,,,3,1,,4,1,,,,,2,0,4,7,
Keisei Hai Autumn Handicap 2022,3,,,1600,,,,6,,1,5,6,1,,,,2,0,-2,15,
Keisei Hai Autumn Handicap 2022,3,,,1600,,,,4,1,,7,4,1,,,,0,0,-2,6,
