馬名,レース名,馬齢,牝馬,牡馬,前走順位,前走人気,騎手変更,前走芝,前走ダート,前走障害,前走のグレード-今回のグレード,今回の負担-前走の負担,(今回の距離-前回の距離)/100,週間隔,前走海外
シムカミル,ジャパンカップ,3,,1,1,3,,,,,1,3,,10,1
オネスト,ジャパンカップ,3,,1,10,5,1,,,,,-1.5,,7,1
ヴェルトライゼンデ,ジャパンカップ,5,,1,7,3,1,,,,1,1,2,8,
トラストケンシン,ジャパンカップ,7,,1,11,8,,,,,3,1,4,5,
グランドグローリー,ジャパンカップ,6,1,,5,16,1,,,,,-3,,7,1
ヴェラアズール,ジャパンカップ,5,,1,1,2,1,,,,1,1,,6,
テュネス,ジャパンカップ,3,,1,1,1,,,,,,3,,2,1
デアリングタクト,ジャパンカップ,5,1,,6,1,1,,,,,-1,2,1,
ユニコーンライオン,ジャパンカップ,6,,1,1,10,,,,,2,,4,1,
ハーツイストワール,ジャパンカップ,6,,1,2,5,,,,,1,2,-1,2,
カラテ,ジャパンカップ,6,,1,6,9,,,,,,-1,4,3,
シャドウディーヴァ,ジャパンカップ,6,1,,7,5,1,,,,1,,6,5,
テーオーロイヤル,ジャパンカップ,4,,1,6,1,,,,,1,-0.5,-1,2,
ダノンベルーガ,ジャパンカップ,3,,1,3,4,,,,,,-1,4,3,
シャフリヤール,ジャパンカップ,4,,1,5,2,,,,,,-1,4,3,
リッジマン,ジャパンカップ,9,,1,4,13,1,,,,6,,7,2.5,
ユーバーレーベン,ジャパンカップ,4,1,,8,10,,,,,,-1,4,3,
ポッケリーニ,ジャパンカップ,6,,1,2,1,,,,,1,,,6,
