馬名,レース名,馬齢,牝馬,牡馬,前走順位,前走人気,騎手変更,前走芝,前走ダート,前走障害,前走のグレード-今回のグレード,今回の負担-前走の負担,(今回の距離-前回の距離)/100,週間隔,前走海外
マテンロウオリオン,マイルチャンピオンシップ,3,,1,7,2,,,,,1,2,2,2,
ウインカーネリアン,マイルチャンピオンシップ,5,,1,1,1,,,,,2,,,13,
ダノンザキッド,マイルチャンピオンシップ,4,,1,3,4,1,,,,1,1,-2,5,
シュネルマイスター,マイルチャンピオンシップ,4,,1,9,3,1,,,,,,4,6,
サリオス,マイルチャンピオンシップ,5,,1,1,1,1,,,,1,1,-2,5,
ソダシ,マイルチャンピオンシップ,4,1,,2,1,,,,,1,-1,-2,4,
ジャスティンカフェ,マイルチャンピオンシップ,4,,1,2,3,,,,,1,1,-2,5,
ロータスランド,マイルチャンピオンシップ,5,1,,6,3,,,,,1,1,2,2,
ピースオブエイト,マイルチャンピオンシップ,3,,1,4,8,1,,,,1,2,,3,
セリフォス,マイルチャンピオンシップ,3,,1,1,1,1,,,,1,2,,3,
ソウルラッシュ,マイルチャンピオンシップ,4,,1,2,3,,,,,1,,,3,
ホウオウアマゾン,マイルチャンピオンシップ,4,,1,10,1,1,,,,1,1,2,2,
エアロロノア,マイルチャンピオンシップ,5,,1,5,6,1,,,,1,1,,3,
ベステンダンク,マイルチャンピオンシップ,10,,1,11,18,1,,,,1,1,2,2,
ダノンスコーピオン,マイルチャンピオンシップ,3,,1,3,2,,,,,1,,,3,
ハッピーアワー,マイルチャンピオンシップ,6,,1,9,10,,,,,1,1,-2,5,
ファルコニア,マイルチャンピオンシップ,5,,1,1,1,1,,,,2,1,,9,
