馬番,馬名,コース,枠番,馬齢,牝馬,牡馬,前走順位,前走人気,騎手変更,前走芝,前走ダート,前走障害,前走のグレード-今回のグレード,今回の負担-前走の負担,(今回の距離-前回の距離)/100,週間隔,前走海外
1,フロムダスク,Tokyo,one,3,,1,9,3,1,,1,,2,2,,9,1
2,モリアーナ,Tokyo,one,3,1,,4,3,1,,,,1,1,,3,
3,ウンブライル,Tokyo,two,3,1,,2,5,1,,,,1,1,,3,
4,ショーモン,Tokyo,two,3,,1,3,2,,,,,2,1,,2,
5,シングザットソング,Tokyo,three,3,1,,7,11,1,,,,,,,3,
6,エエヤン,Tokyo,three,3,,1,1,2,1,,,,1,1,,3,
7,オールパルフェ,Tokyo,four,3,,1,7,4,,,,,1,1,-2,6,
8,セッション,Tokyo,four,3,,1,2,4,,,,,2,1,,2,
9,ナヴォーナ,Tokyo,five,3,,1,7,3,1,,,,2,1,,2,
10,オオバンブルマイ,Tokyo,five,3,,1,1,5,,,,,2,1,,2,
11,シャンパンカラー,Tokyo,six,3,,1,3,7,,,,,1,1,,3,
12,クルゼイロドスル,Tokyo,six,3,,1,1,2,,,,,3,1,,16,
13,ドルチェモア,Tokyo,seven,3,,1,7,1,1,,,,1,1,,3,
14,ユリーシャ,Tokyo,seven,3,1,,11,1,,,,,2,1,,2,
15,カルロヴェローチェ,Tokyo,seven,3,,1,2,1,1,,,,2,1,2,6,
16,タマモブラックタイ,Tokyo,eight,3,,1,1,8,,,,,2,1,2,6,
17,ミシシッピテソーロ,Tokyo,eight,3,1,,5,14,,,,,1,3,,3,
18,ダノンタッチダウン,Tokyo,eight,3,,1,18,10,,,,,,,-4,2,
