レース名,馬名,コース,枠番,馬齢,牝馬,牡馬,前走順位,前走人気,騎手変更,前走芝,前走ダート,前走障害,前走のグレード-今回のグレード,今回の負担-前走の負担,(今回の距離-前回の距離)/100,週間隔,前走海外
桜花賞,ブトンドール,Hanshin,one,3,1,,6,1,1,,,,1,1,2,3,
桜花賞,ライトクオンタム,Hanshin,one,3,1,,1,2,,,,,2,1,,12,
桜花賞,リバティアイランド,Hanshin,two,3,1,,1,1,,,,,,1,,16,
桜花賞,ドゥアイズ,Hanshin,two,3,1,,2,2,,,,,2,1,,7,
桜花賞,ハーパー,Hanshin,three,3,1,,1,6,1,,,,2,1,,7,
桜花賞,モズメイメイ,Hanshin,three,3,1,,1,7,1,,,,1,1,,4,
桜花賞,コンクシェル,Hanshin,four,3,1,,2,13,,,,,3,1,,3,
桜花賞,キタウイング,Hanshin,four,3,1,,7,5,,,,,1,1,,4,
桜花賞,コナコースト,Hanshin,five,3,1,,2,6,,,,,1,1,,4,
桜花賞,エミュー,Hanshin,five,3,1,,1,2,1,,,,2,1,-2,2,
桜花賞,シンリョクカ,Hanshin,six,3,1,,2,12,1,,,,,1,,16,
桜花賞,シングザットソング,Hanshin,six,3,1,,1,2,1,,,,1,1,2,3,
桜花賞,ドゥーラ,Hanshin,seven,3,1,,15,1,,,,,1,1,,4,
桜花賞,ペリファーニア,Hanshin,seven,3,1,,3,2,1,,,,1,1,,4,
桜花賞,ジューンオレンジ,Hanshin,seven,3,1,,3,11,,,,,1,1,2,3,
桜花賞,ムーンプローブ,Hanshin,eight,3,1,,2,7,,,,,1,1,2,3,
桜花賞,ラヴェル,Hanshin,eight,3,1,,11,4,,,,,,1,,16,
桜花賞,トーセンローリエ,Hanshin,eight,3,1,,1,1,,,,,3,1,,3,
