馬名,レース名,馬齢,牝馬,牡馬,前走順位,前走人気,騎手変更,前走芝,前走ダート,前走障害,前走のグレード-今回のグレード,今回の負担-前走の負担,(今回の距離-前回の距離)/100,週間隔,前走海外
ジェラルディーナ,大阪杯,5,1,,3,3,1,,,,,1,-5,13,
マリアエレーナ,大阪杯,5,1,,8,2,1,,,,1,1,,2,
モズベッロ,大阪杯,7,,1,10,11,1,,,,1,1,2,4,
ノースブリッジ,大阪杯,5,,1,1,4,,,,,1,1,-2,9,
ワンダフルタウン,大阪杯,5,,1,10,11,,,,,1,1,,2,
ヴェルトライゼンデ,大阪杯,6,,1,1,2,1,,,,1,-1,-2,10,
マテンロウレオ,大阪杯,4,,1,2,6,,,,,1,2,-2,6,
ラーグルフ,大阪杯,4,,1,2,8,1,,,,1,2,2,4,
ジャックドール,大阪杯,5,,1,7,2,,,,,,1,,15,1
ポタジェ,大阪杯,6,,1,6,7,1,,,,1,-1,,2,
スターズオンアース,大阪杯,4,1,,3,1,,,,,,1,,23,
キラーアビリティ,大阪杯,4,,1,5,3,1,,,,1,2,-2,6,
ダノンザキッド,大阪杯,5,,1,11,2,1,,,,1,1,2,4,
ヒシイグアス,大阪杯,7,,1,1,5,,,,,1,1,2,4,
ヒンドゥタイムズ,大阪杯,7,,,1,2,1,,,,2,0.5,2,5,
ノースザワールド,大阪杯,5,,1,1,2,1,,,,5,,2,1,
