馬名,レース名,馬齢,牝馬,牡馬,前走順位,前走人気,騎手変更,前走芝,前走ダート,前走障害,前走のグレード-今回のグレード,今回の負担-前走の負担,(今回の距離-前回の距離)/100,週間隔,前走海外
トゥラヴェスーラ,高松宮記念,8,,1,8,5,1,,,,1,1,-2,12,
ウォーターナビレラ,高松宮記念,4,1,,14,4,1,,,,2,1,-2,4,
キルロード,高松宮記念,8,,,12,5,1,,,,2,,,7,
ダディーズビビッド,高松宮記念,5,,1,2,3,1,,,,2,1,-2,3,
メイケイエール,高松宮記念,5,1,,5,2,1,,,,,0.5,,14,1
ナランフレグ,高松宮記念,7,,1,9,3,,,,,2,-1,,2,
ヴェントヴォ―チェ,高松宮記念,6,,1,1,2,1,,,,2,1,,2,
ロータスランド,高松宮記念,6,1,,3,3,,,,,2,,-2,4,
ディヴィナシオン,高松宮記念,6,,1,2,15,1,,,,2,1,,2,
オパールシャルム,高松宮記念,6,1,,15,13,,,,,2,1,,2,
ピクシーナイト,高松宮記念,5,,1,1,3,1,,,,,1,,66,1
アグリ,高松宮記念,4,,1,1,2,,,,,2,1,-2,3,
ファストフォース,高松宮記念,7,,1,2,10,,,,,2,0.5,,7,
トウシンマカオ,高松宮記念,4,,1,4,3,,,,,2,-0.5,,7,
ナムラクレア,高松宮記念,4,1,,1,2,,,,,2,-0.5,,7,
グレナディアガーズ,高松宮記念,5,,1,7,1,,,,,2,1,-2,3,
ボンボヤージ,高松宮記念,6,1,,12,17,,,,,2,,-2,4,
ウインマーベル,高松宮記念,4,,1,7,4,,,,,2,-1,,7,
