馬番,馬名,コース,枠番,馬齢,牝馬,牡馬,前走順位,前走人気,騎手変更,前走芝,前走ダート,前走障害,前走のグレード-今回のグレード,今回の負担-前走の負担,(今回の距離-前回の距離)/100,週間隔,前走海外
1,ライラック,Tokyo,one,4,1,,9,5,,,,,1,,-3,3,
2,カラテ,Tokyo,one,7,,1,9,4,,,,,2,1,2,2,
3,ダノンザキッド,Tokyo,two,5,,1,5,5,1,,,,,1,2,7,1
4,ボッケリーニ,Tokyo,two,7,,1,1,5,,,,,2,1,2,2,
5,イクイノックス,Tokyo,three,4,,1,1,1,,,,,,1.5,-2.1,12,1
6,スルーセブンシーズ,Tokyo,three,5,1,,1,2,1,,,,2,2,4,14,
7,プラダリア,Tokyo,four,4,,1,5,2,1,,,,1,1,-3,3,
8,ヴェラアズール,Tokyo,four,6,,1,13,7,1,,1,,,1,2,12,1
9,ジャスティンパレス,Tokyo,five,4,,1,1,2,1,,,,,,-10,7,
10,ディープボンド,Tokyo,five,6,,1,2,5,,,,,,,-10,7,
11,ジェラルディーナ,Tokyo,six,5,1,,6,2,1,,,,,0.5,2,7,1
12,アスクビクターモア,Tokyo,six,4,,1,11,4,,,,,,,-10,7,
13,ジオグリフ,Tokyo,seven,4,,1,11,5,1,,1,,,1,2,12,1
14,ブレークアップ,Tokyo,seven,5,,1,4,7,1,,,,,,-10,7,
15,ユニコーンライオン,Tokyo,eight,7,,1,5,3,1,,,,,-1,2,10,1
16,モズベッロ,Tokyo,eight,7,,1,6,9,1,,,,2,1,2,2,
17,ドゥラエレーデ,Tokyo,eight,3,,1,2,7,1,,,,1,-4,-2,3,
