レース名,馬名,コース,枠番,馬齢,牝馬,牡馬,前走順位,前走人気,騎手変更,前走芝,前走ダート,前走障害,前走のグレード-今回のグレード,今回の負担-前走の負担,(今回の距離-前回の距離)/100,週間隔,前走海外
天皇賞（春）,ジャスティンパレス,Kyoto,One,4,,1,1,2,,,,,1,1,2,5,
天皇賞（春）,ディープモンスター,Kyoto,One,5,,1,5,5,1,,,,1,1,12,6,
天皇賞（春）,タイトルホルダー,Kyoto,Two,5,,1,1,2,,,,,1,-1,7,4,
天皇賞（春）,メロディーレーン,Kyoto,Two,7,1,,11,8,1,,,,1,1,2,5,
天皇賞（春）,アイアンバローズ,Kyoto,Three,6,,1,7,4,1,,,,1,1,2,5,
天皇賞（春）,アスクビクターモア,Kyoto,Three,4,,1,9,1,1,,,,1,,7,4,
天皇賞（春）,ディープボンド,Kyoto,Four,6,,1,5,3,,,,,1,,2,5,
天皇賞（春）,トーセンカンビーナ,Kyoto,Four,7,,1,8,10,1,,,,2,2,-2,9,
天皇賞（春）,ヒュミドール,Kyoto,Five,7,,,2,13,1,,,,2,2,-2,9,
天皇賞（春）,サンレイポケット,Kyoto,Five,8,,1,6,6,1,,,,1,1,2,5,
天皇賞（春）,ディアスティマ,Kyoto,Six,6,,1,3,7,,,,,1,1,7,4,
天皇賞（春）,ブレークアップ,Kyoto,Six,5,,1,3,5,,,,,1,,2,5,
天皇賞（春）,ボルドグフーシュ,Kyoto,Seven,4,,1,2,1,,,,,1,2,2,5,
天皇賞（春）,マテンロウレオ,Kyoto,Seven,4,,1,4,8,,,,,,,12,3,
天皇賞（春）,エンドロール,Kyoto,Eight,4,,1,1,4,,,,,5,,7,3,
天皇賞（春）,シルヴァーソニック,Kyoto,Eight,7,,1,1,2,,,,,2,1.5,2,8,1
天皇賞（春）,アフリカンゴールド,Kyoto,Eight,8,,,4,10,,,,,1,1,2,5,
