馬番,馬名,コース,枠番,馬齢,牝馬,牡馬,前走順位,前走人気,騎手変更,前走芝,前走ダート,前走障害,前走のグレード-今回のグレード,今回の負担-前走の負担,(今回の距離-前回の距離)/100,週間隔,前走海外
1,ベラジオオペラ,Tokyo,one,3,,1,10,3,1,,,,,,4,5,
2,スキルヴィング,Tokyo,one,3,,1,1,1,,,,,1,1,,3,
3,ホウオウビスケッツ,Tokyo,two,3,,1,17,7,1,,,,,,4,5,
4,トップナイフ,Tokyo,two,3,,1,7,9,,,,,,,4,5,
5,ソールオリエンス,Tokyo,three,3,,1,1,2,,,,,,,4,5,
6,ショウナンバシット,Tokyo,three,3,,1,5,12,,,,,,,4,5,
7,フリームファクシ,Tokyo,four,3,,1,9,4,1,,,,,,4,5,
8,メタルスピード,Tokyo,four,3,,1,4,13,,,,,,,4,5,
9,グリューネグリーン,Tokyo,five,3,,1,11,16,,,,,,,4,5,
10,シャザーン,Tokyo,five,3,,1,6,8,,,,,,,4,5,
11,ハーツコンチェルト,Tokyo,six,3,,1,2,2,,,,,1,1,,3,
12,タスティエーラ,Tokyo,six,3,,1,2,5,1,,,,,,4,5,
13,シーズンリッチ,Tokyo,seven,3,,1,1,5,1,,,,2,1,6,8,
14,ファントムシーフ,Tokyo,seven,3,,1,3,1,1,,,,,,4,5,
15,ノッキングポイント,Tokyo,seven,3,,1,2,2,1,,,,2,1,6,8,
16,パクスオトマニカ,Tokyo,eight,3,,1,1,2,,,,,3,1,4,2,
17,ドゥラエレーデ,Tokyo,eight,3,,1,2,7,1,,1,,1,2,5,8,1
18,サトノグランツ,Tokyo,eight,3,,1,1,1,,,,,1,1,2,2,
