馬番,馬名,コース,枠番,馬齢,牝馬,牡馬,前走順位,前走人気,騎手変更,前走芝,前走ダート,前走障害,前走のグレード-今回のグレード,今回の負担-前走の負担,(今回の距離-前回の距離)/100,週間隔,前走海外
1,ロータスランド,Tokyo,one,6,1,,6,4,1,,,,,,4,6,
2,スターズオンアース,Tokyo,one,4,1,,2,1,,,,,,,-4,5,
3,サウンドビバーチェ,Tokyo,two,4,1,,1,6,1,,,,1,1,,4,
4,アンドヴァラナウト,Tokyo,two,5,1,,5,7,,,,,1,1,,4,
5,スタニングローズ,Tokyo,three,4,1,,5,3,1,,,,1,1,-2,10,
6,ソングライン,Tokyo,three,5,1,,10,,1,,,,2,1,2.49,10,1
7,イズジョーノキセキ,Tokyo,four,6,1,,10,5,,,,,1,,,4,
8,ララクリスティーヌ,Tokyo,four,5,1,,1,2,,,,,2,1,2,11,
9,クリノプレミアム,Tokyo,five,6,1,,3,4,1,,,,2,1,-2,2,
10,サブライムアンセム,Tokyo,five,4,1,,2,10,1,,,,1,1,,4,
11,ナミュール,Tokyo,six,4,1,,2,2,,,,,2,,,13,
12,ナムラクレア,Tokyo,six,4,1,,2,2,1,,,,,,4,6,
13,ディヴィーナ,Tokyo,seven,5,1,,12,11,,,,,1,1,,4,
14,ステラリア,Tokyo,seven,5,1,,1,8,,,,,2,1,-2,2,
15,ルージュスティリア,Tokyo,eight,4,1,,6,1,,,,,1,1,,4,
16,ソダシ,Tokyo,eight,5,1,,3,2,1,,,,,1,,24,
