馬番,馬名,コース,枠番,馬齢,牝馬,牡馬,前走順位,前走人気,騎手変更,前走芝,前走ダート,前走障害,前走のグレード-今回のグレード,今回の負担-前走の負担,(今回の距離-前回の距離)/100,週間隔,前走海外
1,ナランフレグ,Tokyo,one,7,,1,4,9,,,,,,,4,9,
2,メイケイエール,Tokyo,one,5,1,,12,1,,,,,,,4,9,
3,ジャックドール,Tokyo,two,5,,1,1,2,,,,,,,-4,8,
4,セリフォス,Tokyo,two,4,,1,5,3,,,,,,1,-2,9,1
5,ソダシ,Tokyo,three,5,1,,2,3,1,,,,,,,2,
6,ダノンスコーピオン,Tokyo,three,4,,1,11,1,1,,,,1,,2,2,
7,ガイアフォース,Tokyo,four,4,,1,2,4,,,,,1,,,5,
8,ドルチェモア,Tokyo,four,3,,1,12,4,1,,,,,-3,,3,
9,シャンパンカラー,Tokyo,five,3,,1,1,9,,,,,,-3,,3,
10,ソウルラッシュ,Tokyo,five,5,,1,3,3,,,,,1,,,5,
11,イルーシヴパンサ―,Tokyo,six,5,,1,8,6,1,,,,1,1,-2,5,
12,ナミュール,Tokyo,six,4,1,,7,2,,,,,,,,4,
13,レッドモンレーヴ,Tokyo,seven,4,,1,1,2,,,,,1,1,2,4,
14,シュネルマイスター,Tokyo,seven,5,,1,1,1,,,,,1,,,5,
15,マテンロウオリオン,Tokyo,seven,4,,1,5,7,,,,,1,1,,4,
16,カフェファラオ,Tokyo,eight,6,,1,12,9,1,,1,,,1,-4,6,1
17,ウインカーネリアン,Tokyo,eight,6,,1,6,7,,,1,,1,1,,6,1
18,ソングライン,Tokyo,eight,5,1,,1,4,,,,,,,,5,
