馬番,馬名,コース,枠番,馬齢,牝馬,牡馬,前走順位,前走人気,騎手変更,前走芝,前走ダート,前走障害,前走のグレード-今回のグレード,今回の負担-前走の負担,(今回の距離-前回の距離)/100,週間隔,前走海外
1,ラヴェル,Tokyo,one,3,1,,11,10,,,,,,,8,5,
2,ライトクオンタム,Tokyo,one,3,1,,8,2,1,,,,,,8,5,
3,キタウイング,Tokyo,two,3,1,,12,12,,,,,,,8,5,
4,キミノナハマリア,Tokyo,two,3,1,,11,6,1,,,,1,1,4,3,
5,リバティアイランド,Tokyo,three,3,1,,1,1,,,,,,,8,5,
6,ゴールデンハインド,Tokyo,three,3,1,,1,7,,,,,1,1,4,3,
7,ヒップホップソウル,Tokyo,four,3,1,,2,8,,,,,2,1,6,8,
8,レミージュ,Tokyo,four,3,1,,16,13,,,,,1,1,8,10,
9,コナコースト,Tokyo,five,3,1,,2,6,1,,,,,,8,5,
10,ソーダズリング,Tokyo,five,3,1,,2,1,1,,,,1,1,4,3,
11,ミッキーゴージャス,Tokyo,six,3,1,,1,1,,,,,5,1,6,5,
12,ハーパー,Tokyo,six,3,1,,4,3,,,,,,,8,5,
13,ドゥーラ,Tokyo,seven,3,1,,14,8,1,,,,,,8,5,
14,ペリファーニア,Tokyo,seven,3,1,,3,5,,,,,,,8,5,
15,エミュー,Tokyo,seven,3,1,,10,15,1,,,,,,8,5,
16,ドゥアイズ,Tokyo,eight,3,1,,5,4,,,,,,,8,5,
17,シンリョクカ,Tokyo,eight,3,1,,6,9,,,,,,,8,5,
18,イングランドアイズ,Tokyo,eight,3,1,,4,3,,,,,1,1,4,3,
